"","chr11.70319544.70313962..","chr11.70333825.70331419..","chr11.70335453.70335433..","chr11.70336492.70336271..","chr11.70338570.70338440..","chr11.70346698.70346675..","chr11.70348391.70348311..","chr11.70349036.70348901..","chr11.70506057.70505933..","chr11.70507923.70507701..","SHANK2","tail","logRatio","aveIntensity","binbox","probability"
"TCGA-BA-4074-01A",1.2842,0.3081,0.0049,0.1325,0.2142,0,0.2211,0.3898,0.941,0.3009,1.6755,0.941,0.448603275747836,1.1126,4,0.106276858544951
"TCGA-BA-4075-01A",1.9845,0.8815,0,0.2408,0.681,0,0.4999,0.6341,0.9998,0.4936,2.3382,0.9998,0.989064130203672,1.49215,5,0.0175646340030411
"TCGA-BA-4076-01A",0.4545,0.2896,0,0.1951,0.1975,0,0.3217,0.3264,0.5995,0.2538,0.5475,0.5995,-0.399479459220117,0.527,3,0.636261140806935
"TCGA-BA-4077-01B",1.1679,0.9369,0,0.1895,0.9553,0,0.9018,1.097,0.8088,0.3872,1.4633,1.097,0.0903532247778844,1.13245,5,0.643456199897379
"TCGA-BA-4078-01A",2.1782,1.0946,0,0.4481,0.764,0,0.7404,0.9571,1.208,0.4893,2.3725,1.208,0.850515972193068,1.6931,6,0.0655049126707703
"TCGA-BA-5149-01A",5.4917,4.7284,0.0698,1.4982,3.8523,0.2442,3.7754,4.2124,6.0567,1.9401,7.5242,6.0567,-0.141279137452843,5.7742,8,0.985983131018279
"TCGA-BA-5151-01A",0.8228,0.7674,0.0427,0.2891,0.7225,0.0075,0.4824,0.4969,1.097,0.5707,1.2185,1.097,-0.414949826765621,0.9599,4,0.41966762196748
"TCGA-BA-5152-01A",0.3065,0.0714,0,0,0,0,0,0.0665,0,0.0341,0.2753,0.0714,2.10189109454904,0.18895,1,0.0609819774700709
"TCGA-BA-5153-01A",0.0133,0,0,0,0.0706,0,0,0,0.148,0.0268,0.0189,0.148,-3.47609902501512,0.08065,1,0.00488098416287338
"TCGA-BA-5555-01A",0.1847,0.1073,0,0.0369,0.3134,0,0.2527,0.1195,0.1474,0.039,0.2221,0.3134,-0.762821313490142,0.24905,2,0.283120128527445
"TCGA-BA-5556-01A",0.2482,0.4206,0,0.0593,0.1917,0,0.4229,0.3406,0.6758,0.2001,0.4896,0.6758,-1.44509323503344,0.462,3,0.0220593359239919
"TCGA-BA-5557-01A",0.4877,0.696,0,0.2662,0.3328,0,0.3727,0.4766,0.5083,0.2049,0.9662,0.696,-0.513093333700223,0.59185,3,0.502666749647415
"TCGA-BA-5558-01A",0.8366,1.2549,0.0248,0.428,0.7154,0,0.9771,0.8566,1.1122,0.4226,1.4968,1.2549,-0.584962500721156,1.04575,4,0.199190423213391
"TCGA-BA-5559-01A",0.0499,0.0643,0,0.0232,0.0435,0,0.1048,0.0395,0.0498,0,0.0774,0.1048,-1.07052699620019,0.07735,1,0.427862759050275
"TCGA-BA-6868-01B",3.9157,2.0433,0.0465,0.7034,1.3576,0,1.8373,1.4227,2.1021,0.7112,4.2243,2.1021,0.897438935529117,3.0089,7,0.010413044560067
"TCGA-BA-6869-01A",0.1966,0.1086,0,0.0172,0.0748,0,0.0739,0,0.1176,0.0513,0.2105,0.1176,0.741375261504216,0.1571,1,0.465337886754598
"TCGA-BA-6870-01A",1.8565,0.4413,0.0145,0.0729,0.1607,0,0.3697,0.561,0.8807,0.3172,1.7919,0.8807,1.07586274419135,1.3686,5,0.0104878931066694
"TCGA-BA-6871-01A",0.7823,0.4465,0,0.1049,0.1054,0,0.1309,0.0974,0.3039,0.31,0.913,0.4465,0.809061789620858,0.6144,3,0.103840724713911
"TCGA-BA-6872-01A",8.4901,2.4379,0.0475,0.7813,1.6454,0,2.1191,1.9313,3.4169,0.929,8.2646,3.4169,1.31309352050491,5.9535,8,0.0715471838929917
"TCGA-BA-6873-01A",0.4108,0.4957,0,0.1821,0.122,0,0.2786,0.242,0.6281,0.3479,0.6916,0.6281,-0.612558087681945,0.51945,3,0.39917968585798
"TCGA-BA-7269-01A",0.187,0,0,0,0,0,0,0,0.266,0.0462,0.1648,0.266,-0.508387975613553,0.2265,2,0.519792642352791
"TCGA-BB-4217-01A",0.4962,0.2799,0,0.1089,0.1845,0,0.1352,0.1416,0.3535,0.3043,0.6161,0.3535,0.48921152019567,0.42485,3,0.284224708206994
"TCGA-BB-4223-01A",0.178,0.2085,0,0.0237,0.0975,0,0.4451,0.1256,0.329,0.1431,0.2645,0.4451,-1.32225225959851,0.31155,2,0.0435840292636772
"TCGA-BB-4224-01A",1.4174,0.2075,0,0.0652,0.387,0,0.082,0.1154,0.0905,0.1414,1.2257,0.387,1.87284148266705,0.9022,4,2.02374027947057e-08
"TCGA-BB-4225-01A",0.0672,0.0765,0,0.0474,0.1205,0,0,0,0,0,0.0853,0.1205,-0.842500008338564,0.09385,1,0.547711433262511
"TCGA-BB-4228-01A",0.0815,0.0991,0,0.0247,0.0684,0,0.0375,0.0308,0.0116,0.0259,0.1055,0.0991,-0.282084998068048,0.0903,1,0.896445309447847
"TCGA-CN-4722-01A",0.0498,0.0614,0.0225,0.0245,0,0,0.0423,0.1609,0.1287,0,0.0904,0.1609,-1.69194667865537,0.10535,1,0.188452844127971
"TCGA-CN-4723-01A",1.0138,1.0695,0,0.2613,0.7052,0,1.2196,1.2988,1.3008,0.4585,1.4989,1.3008,-0.359626093485551,1.1573,5,0.621055896141353
"TCGA-CN-4725-01A",0.7641,0.5004,0.037,0.2272,0.3999,0,0.309,0.5507,0.7249,0.2915,1.0488,0.7249,0.0759794713500019,0.7445,4,0.568681161477002
"TCGA-CN-4726-01A",2.2422,0.8982,0,0.2869,0.6703,0,0.8338,0.3598,0.9559,0.4411,2.3454,0.9559,1.2299833636502,1.59905,6,0.01057004398925
"TCGA-CN-4727-01A",0.0318,0.0074,0,0,0,0,0,0,0,0,0.0315,0.0074,2.10342958965541,0.0196,1,0.0608038347398273
"TCGA-CN-4728-01A",0.4171,0.3952,0,0.0358,0.2341,0,0.447,0.0898,0.326,0.1585,0.6367,0.447,-0.0998815191814544,0.43205,3,0.962098286399348
"TCGA-CN-4729-01A",0.2488,0.243,0,0.1467,0.0995,0,0.1882,0.1456,0.3648,0.1624,0.4304,0.3648,-0.552119244034139,0.3068,2,0.473055907149564
"TCGA-CN-4730-01A",0.0566,0.0411,0,0,0,0,0,0,0.0527,0,0.0719,0.0527,0.102999091194668,0.05465,1,0.846553523883553
"TCGA-CN-4731-01A",0.7757,0.922,0,0.2401,0.4212,0,0.9434,0.7807,1.0088,0.3686,1.2639,1.0088,-0.379069474020836,0.89225,4,0.479965349904508
"TCGA-CN-4733-01A",0.8175,1.1234,0,0.2222,0.8332,0,1.1717,1.0214,1.6704,0.5075,1.4642,1.6704,-1.03090298129708,1.24395,5,0.0545630119133407
"TCGA-CN-4734-01A",0.2324,0.3106,0,0.1843,0.3439,0,0.3702,0.3229,0.3212,0.1722,0.4016,0.3702,-0.671694826466045,0.3013,2,0.357861436202173
"TCGA-CN-4735-01A",17.3043,12.5359,0.0635,5.2824,10.8783,0.0123,12.0586,11.257,12.2026,6.3552,20.8554,12.5359,0.46506500578452,14.9201,8,0.458678176939185
"TCGA-CN-4736-01A",0.9666,0.7535,0,0.3126,0.8086,0,0.3965,0.47,0.9485,0.6641,1.2395,0.9485,0.0272712211288869,0.95755,4,0.66474266599974
"TCGA-CN-4737-01A",1.3879,1.774,0.0076,0.6465,1.4348,0,2.3658,1.7815,1.8554,0.6807,2.317,2.3658,-0.769424492672692,1.87685,6,0.226397193437197
"TCGA-CN-4738-01A",1.6913,2.197,0.0946,0.9386,2.1407,0,1.4424,2.0221,2.3367,0.9332,2.8121,2.3367,-0.466339938586912,2.014,6,0.522972454291981
"TCGA-CN-4739-01A",0.1242,0.0782,0,0.0263,0.1644,0,0.0406,0.1011,0.0584,0.03,0.1546,0.1644,-0.404545125461201,0.1443,1,0.815696758448858
"TCGA-CN-4740-01A",0.0315,0.0277,0,0,0.0463,0,0.0749,0,0.0534,0.025,0.0464,0.0749,-1.24961389007147,0.0532,1,0.345486409693124
"TCGA-CN-4741-01A",0.7216,0.5987,0,0.1733,0.4267,0,0.6437,0.4998,0.5519,0.1496,0.8944,0.6437,0.16481086974567,0.68265,4,0.412697741156045
"TCGA-CN-4742-01A",0.4529,0.9498,0.0228,0.3509,1.2781,0,1.5388,0.8989,1.2896,0.5052,1.1622,1.5388,-1.7645412902465,0.99585,4,4.38121232579707e-06
"TCGA-CN-5355-01A",0.8811,1.2208,0.0368,0.4993,0.8511,0,0.7025,0.4477,0.9547,0.3885,1.4858,1.2208,-0.470449195788523,1.05095,4,0.335714890904262
"TCGA-CN-5356-01A",0.0329,0.0398,0,0.0057,0.0306,0,0.0651,0,0.0101,0.018,0.0511,0.0651,-0.984569959430394,0.049,1,0.471152188100599
"TCGA-CN-5358-01A",0.0973,0.1472,0,0.0805,0.195,0,0.3067,0.3253,0.2121,0.154,0.1875,0.3253,-1.74125911226002,0.2113,1,0.174902659687101
"TCGA-CN-5359-01A",1.6631,2.014,0.0109,0.7407,2.0938,0,1.5615,1.9687,2.5034,0.8988,2.7336,2.5034,-0.590013908571991,2.08325,7,0.247274632019368
"TCGA-CN-5360-01A",0.9968,1.1682,0.0314,0.3452,1.3373,0,1.5341,1.2505,1.143,0.4094,1.5127,1.5341,-0.622016554217596,1.26545,5,0.29255687522555
"TCGA-CN-5361-01A",7.6038,5.7769,0.0324,2.3246,4.911,0,5.8762,6.3011,7.3626,2.6807,9.8845,7.3626,0.0465052618110284,7.4832,8,0.827921939974779
"TCGA-CN-5363-01A",7.0727,5.6122,0,2.1404,3.6371,0,4.2902,3.881,5.2971,2.4175,9.2552,5.6122,0.333694645669069,6.34245,8,0.56416342695325
"TCGA-CN-5364-01A",7.5279,6.5758,0.0851,2.2326,5.5928,0,6.1189,6.1437,7.4104,2.8167,10.0418,7.4104,0.0226960448483079,7.46915,8,0.851205945262224
"TCGA-CN-5370-01A",1.9286,2.1309,0.0536,0.8646,2.0031,0.0078,2.3973,1.4802,2.2492,0.7094,2.7791,2.3973,-0.313856507064633,2.16295,7,0.640807346485792
"TCGA-CN-5373-01A",3.1807,4.2305,0.0707,1.8019,4.2294,0,5.2777,4.1329,5.6932,2.1328,5.5153,5.6932,-0.839895477018192,4.43695,8,0.372605618295924
"TCGA-CN-5374-01A",0.0198,0.0141,0,0,0,0,0,0,0,0,0.0232,0.0141,0.489805267680816,0.01695,1,0.604014605770214
"TCGA-CN-6010-01A",1.4202,1.5878,0,0.7494,1.2228,0,1.1058,0.8849,2.0585,0.7048,2.1594,2.0585,-0.535499336752861,1.73935,6,0.44186599850959
"TCGA-CN-6011-01A",0.4714,0.5852,0,0.3456,0.4767,0,0.2579,0.3871,0.3461,0.1367,0.7569,0.5852,-0.31197801088832,0.5283,3,0.748265231269162
"TCGA-CN-6012-01A",1.3067,1.5121,0.0077,0.6683,1.1413,0,1.0524,0.6862,1.1469,0.3135,1.9559,1.5121,-0.210625596147681,1.4094,5,0.859201644923527
"TCGA-CN-6013-01A",2.0783,2.6185,0.0073,0.8,2.0738,0,2.4261,2.3305,2.4161,1.2032,3.3202,2.6185,-0.333336684292454,2.3484,7,0.606362336254922
"TCGA-CN-6016-01A",2.1009,2.3189,0.0079,0.9268,1.8917,0,2.4382,1.7797,2.1317,0.8575,3.0787,2.4382,-0.214808978493114,2.26955,7,0.826696414034969
"TCGA-CN-6018-01A",1.3356,1.7307,0,0.672,1.4821,0,1.6222,0.9615,1.7325,0.8201,2.1705,1.7325,-0.375367353848823,1.53405,6,0.640210323195219
"TCGA-CN-6019-01A",1.4063,1.1139,0,0.4206,0.9456,0,1.4499,1.023,1.488,0.6396,1.8027,1.488,-0.0814701352044976,1.44715,5,0.922442364260745
"TCGA-CN-6021-01A",0.1485,0.1115,0,0,0.1205,0,0.1787,0.1633,0.2198,0.0664,0.2112,0.2198,-0.565728455261103,0.18415,1,0.712454940183072
"TCGA-CN-6022-01A",1.0264,0.9706,0,0.462,1.1241,0,1.223,1.0559,0.7734,0.247,1.4463,1.223,-0.252831328325067,1.1247,5,0.789335650806736
"TCGA-CN-6023-01A",0.056,0.0541,0,0,0,0,0,0,0,0.0101,0.0771,0.0541,0.0497982331181512,0.05505,1,0.881710384490369
"TCGA-CN-6024-01A",1.3629,1.3664,0.0151,0.5508,1.0827,0,1.1817,1.4193,1.8927,0.5918,2.0669,1.8927,-0.473766045396193,1.6278,6,0.513911813840549
"TCGA-CN-6988-01A",0.2362,0.1843,0,0.0027,0.149,0,0.1416,0.2323,0.1035,0,0.3237,0.2323,0.0240198105883495,0.23425,2,0.798388895982699
"TCGA-CN-6989-01A",4.9796,3.9413,0.0674,1.4326,3.5135,0.0098,3.5174,3.7008,4.8425,2.0201,6.6217,4.8425,0.0402778096910476,4.91105,8,0.833998306293152
"TCGA-CN-6992-01A",1.1242,1.086,0.0208,0.2691,0.9646,0,0.516,0.9935,1.2534,0.4803,1.5498,1.2534,-0.156948178213346,1.1888,5,0.949603811005585
"TCGA-CN-6994-01A",11.8011,13.1325,0.0605,4.7,13.0626,0,16.3478,14.2983,15.4186,6.223,18.8787,16.3478,-0.470175156718753,14.07445,8,0.667888051082718
"TCGA-CN-6995-01A",6.7241,4.0534,0,1.6501,3.2892,0,2.6053,2.7995,4.3741,2.0344,8.0233,4.3741,0.620354976884676,5.5491,8,0.349629825605835
"TCGA-CN-6997-01A",2.357,2.119,0.0049,0.5204,1.5434,0,1.6199,1.3918,1.8428,0.7184,3.1144,2.119,0.153568170877998,2.238,7,0.482652177149474
"TCGA-CN-6998-01A",1.2524,0.8718,0,0.2283,0.9055,0,0.7497,0.6644,1.3083,0.5089,1.564,1.3083,-0.0629979826640924,1.28035,5,0.89130518360665
"TCGA-CQ-5323-01A",4.9757,5.6849,0.0212,2.0414,4.5786,0.0093,5.6772,5.3688,1.39,0.5547,6.695,5.6849,-0.192235468029028,5.3303,8,0.935187777970734
"TCGA-CQ-5324-01A",5.4019,5.8373,0.1996,2.2141,5.0974,0,4.7009,4.5475,5.7061,2.1433,7.8964,5.8373,-0.111834282535437,5.6196,8,0.984625841813684
"TCGA-CQ-5325-01A",1.2556,1.0584,0,0.4417,1.0946,0,0.5346,0.5057,0.5013,0.4135,1.5987,1.0946,0.197973172374627,1.1751,5,0.489057731902421
"TCGA-CQ-5326-01A",5.3711,5.4558,0.1528,2.2766,5.2125,0,4.4908,5.6514,7.1704,2.646,8.3149,7.1704,-0.416836019690383,6.27075,8,0.717115865444705
"TCGA-CQ-5329-01A",2.551,2.652,0.0412,1.1697,2.5018,0,2.6325,2.1684,3.6502,1.4241,3.8629,3.6502,-0.516912614669609,3.1006,7,0.329940816728148
"TCGA-CQ-5330-01A",3.2177,2.6845,0.0102,1.3379,3.0892,0,2.8576,2.6185,2.7475,1.3772,4.2695,3.0892,0.0587965471814419,3.15345,7,0.641857198309598
