Sample	chr11:70313962-70319544:-	chr11:70331419-70333825:-	chr11:70335433-70335453:-	chr11:70336271-70336492:-	chr11:70338440-70338570:-	chr11:70346675-70346698:-	chr11:70348311-70348391:-	chr11:70348901-70349036:-	chr11:70505933-70506057:-	chr11:70507701-70507923:-	SHANK2
TCGA-BA-4074-01A	2.0296	0.6227	0.3621	0.4763	0.5680	0.5432	0.5555	0.6004	0.5453	0.5216	373.0495
TCGA-BA-4075-01A	1.7346	0.7653	0.3128	0.4121	0.6327	0.0000	0.4093	0.5359	0.9221	0.6059	463.6205
TCGA-BA-4076-01A	1.8289	1.6932	1.9832	1.8889	1.6177	1.1212	1.4080	1.2991	0.3870	0.5071	105.4703
TCGA-BA-4077-01B	1.1765	1.0016	0.4951	0.5345	1.0558	0.6602	0.8802	0.9709	0.5017	0.7305	259.8653
TCGA-BA-4078-01A	2.7289	1.9297	1.3557	1.5406	1.5471	1.1956	1.2776	1.2411	0.6049	0.6542	468.4351
TCGA-BA-5149-01A	6.2216	5.9672	4.2375	4.7882	5.0397	3.4253	4.7188	3.9516	3.7689	2.2979	1392.5394
TCGA-BA-5151-01A	0.9361	0.9872	0.7102	0.7899	0.8060	0.7102	0.8603	0.6447	0.3864	0.5085	233.7558
TCGA-BA-5152-01A	0.3422	0.1366	0.1719	0.1792	0.0859	0.0859	0.0859	0.2104	0.0468	0.0316	58.6989
TCGA-BA-5153-01A	0.0123	0.0014	0.1783	0.1117	0.0653	0.0000	0.0000	0.0000	0.0685	0.1368	2.8242
TCGA-BA-5555-01A	0.9310	0.8668	0.8911	0.8776	1.0246	0.7797	0.9929	0.8485	0.1283	0.1738	35.2181
TCGA-BA-5556-01A	0.8764	1.0187	0.6592	0.7127	0.8320	0.9889	0.8003	0.7376	0.4606	0.1631	85.0202
TCGA-BA-5557-01A	0.5397	0.7261	0.1066	0.3501	0.3279	0.2132	0.3896	0.3841	0.3292	0.4202	220.7792
TCGA-BA-5558-01A	0.8200	1.1469	0.5701	0.7041	0.6249	0.5701	0.7995	0.7109	0.5409	0.5435	303.0535
TCGA-BA-5559-01A	0.1419	0.1558	0.0975	0.0975	0.1332	0.0975	0.1408	0.1333	0.0078	0.0000	13.0055
TCGA-BA-6868-01B	4.9359	2.8035	1.5588	1.9462	2.2476	1.7320	2.1981	1.6257	1.0316	0.7437	910.3862
TCGA-BA-6869-01A	0.1597	0.0926	0.0000	0.0146	0.0426	0.1161	0.0287	0.0000	0.0000	0.0000	43.3183
TCGA-BA-6870-01A	1.9047	0.4677	0.0910	0.1565	0.2354	0.2729	0.3953	0.4187	0.5567	0.6228	475.4737
TCGA-BA-6871-01A	1.2711	0.9842	0.5965	0.6677	0.6535	0.4931	0.4931	0.5279	0.1152	0.1884	178.7781
TCGA-BA-6872-01A	10.7335	4.6429	3.1268	3.5940	4.2155	3.9954	3.8281	3.3899	1.6232	1.0010	1761.6708
TCGA-BA-6873-01A	0.5658	0.6336	0.2105	0.3737	0.3198	0.2105	0.4601	0.2833	0.4093	0.3002	121.8112
TCGA-BA-7269-01A	6.0920	2.3654	2.3654	2.3654	2.3654	2.3654	2.3654	2.3654	0.2036	0.0293	33.4373
TCGA-BB-4217-01A	10.7520	1.3464	1.1232	1.2203	1.2055	1.1232	1.2175	1.1859	0.2291	0.2695	118.4510
TCGA-BB-4223-01A	0.3191	0.3404	0.3324	0.3055	0.2525	0.1662	0.3632	0.2774	0.2221	0.0581	45.4087
TCGA-BB-4224-01A	1.1776	0.1739	0.0000	0.0558	0.3308	0.0000	0.0701	0.0948	0.0774	0.0653	259.7343
TCGA-BB-4225-01A	0.1816	0.1873	0.4263	0.2414	0.2318	0.1210	0.1210	0.1210	0.0000	0.0000	15.0605
TCGA-BB-4228-01A	0.1936	0.2186	0.1297	0.1519	0.1911	0.1297	0.1297	0.1297	0.0000	0.0000	17.9011
TCGA-BB-7861-01A	0.2342	0.1721	0.0000	0.0445	0.2224	0.0000	0.0688	0.1229	0.1690	0.0151	55.6272
TCGA-BB-7862-01A	0.6946	0.6110	0.2285	0.3356	0.3367	0.5713	0.6503	0.4108	0.3803	0.2065	176.6862
TCGA-BB-7863-01A	0.3224	0.3669	0.2164	0.2397	0.2750	0.3245	0.2497	0.2927	0.2778	0.1877	47.7385
TCGA-BB-7864-01A	0.3464	0.3137	0.2415	0.2676	0.2857	0.2415	0.2415	0.2415	0.0000	0.0000	25.7093
TCGA-BB-7866-01A	0.3646	0.3685	0.1425	0.1733	0.3513	0.1425	0.2427	0.3153	0.0194	0.1099	52.2785
TCGA-BB-7870-01A	1.7225	0.7892	0.7892	0.7892	0.7892	0.6577	0.6577	0.6577	0.0000	0.0000	6.5056
TCGA-BB-7871-01A	4.1554	1.2238	0.7723	0.8289	0.8649	0.7723	0.7954	0.7917	0.3371	0.2637	572.6865
